Date,TecDAX,1&1 Drillisch,Aixtron,Aumann,Adva,Bechtle,Cancom,Carl Zeiss Meditec,CompuGroup,Dialog Semiconductor,Drägerwerk,Evotec,Freenet,GFT Technologies,Infineon,Isra,Jenoptik,LPKF,Manz,Medigene,MorphoSys,Nemetschek,Nordex,Pfeiffer Vacuum,Qiagen,QSC,RIB Software,S&T,SAP,Sartorius,Siemens Healthineers,Siltronic,SLM,SMA,Software,Stratec,Süss,Telefonica,Telekom,United Internet,Wirecard,Xing
04.08.2015,1799.75,37.792278,5.602,0,10.45,36.052517,16.362453,24.884062,28.335638,43.955002,93.16478,3.537,25.016699,20.719921,0,0,11.868126,8.603,71.352699,0,74.839996,30.747595,26.77,75.808746,25.80822,1.74636,15.621475,0,0,49.480972,0,0,0,30.456694,27.895,46.892555,0,4.349864,0,43.277939,36.847393,147.129761
05.08.2015,1816.910034,38.026234,5.954,0,10.3,36.186901,16.367163,24.888868,28.14222,44.345001,93.036865,3.688,25.460188,20.592665,0,0,11.915158,8.819,71.244301,0,74.769997,30.907387,27.379999,77.522614,25.877882,1.77585,15.549949,0,0,48.910801,0,0,0,29.99107,27.805,47.089466,0,4.406483,0,43.967842,37.70129,147.275238
06.08.2015,1794.02002,38.215195,5.571,0,10.01,36.376896,16.197653,24.725536,28.176069,43.395,92.446533,3.653,24.172138,20.59721,0,0,11.814233,8.7,68.169403,0,72.809998,30.694332,27.215,78.112045,25.623795,1.795203,15.831288,0,0,49.865219,0,0,0,29.510742,27.995001,47.445774,0,4.385345,0,43.273182,37.152,154.209839
07.08.2015,1759.780029,37.693302,5.465,0,9.621,36.233242,15.948094,24.019365,28.14222,41.529999,90.065521,3.663,23.281301,19.99729,0,0,11.774058,8.81,66.750198,0,71.120003,30.544226,26.73,80.995667,24.776896,1.808105,15.26384,0,0,48.229076,0,0,0,30.260643,27.66,45.804863,0,4.304569,0,43.244637,36.507832,163.181168
10.08.2015,1783.27002,37.720295,5.4,0,9.98,37.725388,16.009306,24.149073,28.495209,42.439999,89.839226,3.855,23.51269,20.542671,0,0,11.813252,8.869,68.553802,0,71.599998,31.004229,27.58,78.674263,25.160427,1.767556,15.454579,0,0,49.592529,0,0,0,31.196789,27.860001,45.476688,0,4.39063,0,43.610996,36.702579,170.3582
11.08.2015,1758.630005,36.770988,5.225,0,9.865,37.197113,15.705602,23.846426,28.54356,42.084999,89.130821,3.788,22.830101,20.351788,0,0,11.880863,8.868,63.9021,0,70.709999,30.791176,26.950001,76.978531,24.796759,1.710419,15.154167,0,0,49.034752,0,0,0,31.368336,27.43,45.476688,0,4.342315,0,43.158993,36.402969,174.868134
12.08.2015,1713.920044,36.636021,5.169,0,9.3,36.390797,15.018143,23.587017,28.306625,40.540001,87.044968,3.753,22.363472,19.256481,0,0,11.991589,8.3,58.166199,0,68.239998,29.827587,26.01,75.391624,24.223812,1.684615,14.777459,0,0,47.08873,0,0,0,30.89781,26.844999,45.148506,0,4.220773,0,42.202656,35.484154,168.854919
13.08.2015,1758.329956,37.787781,5.445,0,10,36.882004,14.879238,23.798391,29.041613,41.77,89.239044,3.824,22.57172,20.433596,0,0,12.133669,8.69,58.9842,0,69.050003,31.357708,27.424999,77.042007,24.816717,1.735301,15.36398,0,0,48.700085,0,0,0,34.730629,27.155001,45.593891,0,4.29551,0,43.344551,36.193241,177.098846
14.08.2015,1761.189941,37.675304,5.346,0,9.795,37.071995,15.084064,23.870443,28.674118,41.32,91.315063,3.798,22.833954,20.04274,0,0,12.061158,8.735,60.541401,0,68.980003,31.183388,27.264999,77.223366,24.761927,1.735301,15.230463,0,0,49.456181,0,0,0,35.56385,26.9,46.18462,0,4.324952,0,43.553905,36.248165,178.893082
17.08.2015,1764.199951,36.195107,5.424,0,9.83,36.784687,15.114669,24.019365,28.306625,42.5,88.884842,3.84,22.625708,20.342697,0,0,12.337481,8.683,59.831799,0,68.510002,30.447382,27.129999,77.985085,25.095755,1.752811,15.187545,0,0,50.75766,0,0,0,36.122601,26.709999,45.922073,0,4.258518,0,44.234283,35.928577,186.797592
