Date,Open,High,Low,Close,Adj Close,Volume
2007-08-10,898.030029,898.460022,879.669983,882.229980,882.229980,440016900
2007-08-13,883.950012,896.530029,876.969971,888.510010,888.510010,231110400
2007-08-14,889.630005,892.239990,881.599976,883.590027,883.590027,195897400
2007-08-15,872.059998,876.630005,862.409973,872.320007,872.320007,187117200
2007-08-16,865.229980,865.229980,824.000000,833.099976,833.099976,395184100
2007-08-17,813.299988,850.989990,798.590027,844.700012,844.700012,526884700
2007-08-20,848.880005,864.330017,847.359985,849.349976,849.349976,224592200
2007-08-21,855.609985,857.650024,844.090027,850.119995,850.119995,182325800
2007-08-22,851.309998,883.679993,850.320007,881.270020,881.270020,222083800
2007-08-23,887.750000,904.770020,887.750000,892.119995,892.119995,288590600
2007-08-24,891.390015,898.070007,887.909973,897.570007,897.570007,212810100
2007-08-27,903.830017,914.539978,899.049988,902.880005,902.880005,211164100
2007-08-28,900.500000,901.700012,882.460022,885.059998,885.059998,140598000
2007-08-29,876.119995,888.690002,866.169983,887.559998,887.559998,230162600
2007-08-30,893.580017,900.000000,884.969971,899.289978,899.289978,183294500
2007-08-31,903.770020,917.750000,901.119995,917.299988,917.299988,175374200
2007-09-03,920.210022,925.020020,915.280029,924.549988,924.549988,118306700
2007-09-04,926.210022,939.520020,916.869995,939.429993,939.429993,162684800
2007-09-05,938.020020,942.719971,921.409973,922.179993,922.179993,196413200
2007-09-06,926.849976,933.340027,918.659973,929.859985,929.859985,162535900
2007-09-07,930.229980,936.130005,910.239990,911.409973,911.409973,206356000
2007-09-10,907.809998,915.830017,898.909973,900.239990,900.239990,159744700
2007-09-11,906.830017,916.500000,906.299988,914.280029,914.280029,122781900
2007-09-12,916.039978,918.330017,908.799988,913.510010,913.510010,120212800
2007-09-13,911.940002,912.270020,902.340027,908.070007,908.070007,140393800
2007-09-14,907.280029,908.219971,898.030029,902.919983,902.919983,242268000
2007-09-17,903.349976,903.349976,886.700012,886.700012,886.700012,130006200
2007-09-18,886.690002,902.010010,884.510010,901.200012,901.200012,150068000
2007-09-19,915.619995,924.419983,915.260010,919.469971,919.469971,0
2007-09-20,916.760010,917.789978,912.270020,915.690002,915.690002,127871600
2007-09-21,915.239990,925.590027,914.150024,924.799988,924.799988,369595800
2007-09-24,926.590027,946.580017,926.590027,944.500000,944.500000,314089600
2007-09-25,940.090027,949.270020,934.030029,944.130005,944.130005,327340600
2007-09-26,948.479980,968.049988,948.479980,964.229980,964.229980,268397600
2007-09-27,968.599976,978.049988,958.270020,960.289978,960.289978,313020800
2007-09-28,963.890015,968.309998,956.469971,966.059998,966.059998,293973900
2007-10-01,968.460022,979.809998,965.820007,979.130005,979.130005,269334100
2007-10-02,984.590027,992.229980,981.919983,985.799988,985.799988,270722400
2007-10-03,987.619995,992.780029,984.979980,987.669983,987.669983,174452600
2007-10-04,987.349976,989.309998,980.559998,988.770020,988.770020,169927800
2007-10-05,988.880005,998.510010,988.500000,997.510010,997.510010,198600300
2007-10-08,999.950012,1011.059998,992.859985,993.489990,993.489990,326587400
2007-10-09,994.619995,1003.400024,992.909973,1003.400024,1003.400024,296585000
2007-10-10,1006.330017,1011.619995,1003.380005,1006.450012,1006.450012,204127800
2007-10-11,1007.840027,1016.299988,1003.929993,1013.900024,1013.900024,297079700
2007-10-12,1007.250000,1014.869995,1004.190002,1014.669983,1014.669983,249737100
2007-10-15,1015.650024,1023.809998,1013.489990,1013.969971,1013.969971,308238500
2007-10-16,1010.780029,1012.960022,999.390015,1003.010010,1003.010010,261974900
2007-10-17,1002.789978,1016.979980,994.289978,1015.880005,1015.880005,347716200
2007-10-18,1017.710022,1020.849976,999.090027,1000.580017,1000.580017,273590400
2007-10-19,997.219971,1004.190002,986.770020,989.780029,989.780029,226802300
2007-10-22,969.119995,972.820007,956.239990,964.830017,964.830017,270160900
2007-10-23,972.520020,990.919983,972.520020,984.309998,984.309998,194528100
2007-10-24,988.750000,991.440002,975.070007,976.940002,976.940002,181184400
2007-10-25,983.989990,1000.179993,983.989990,1000.159973,1000.159973,239712200
2007-10-26,1000.200012,1000.960022,982.440002,989.109985,989.109985,743963700
2007-10-29,993.729980,1005.250000,993.289978,1004.130005,1004.130005,367521600
2007-10-30,1003.609985,1012.809998,998.580017,1004.330017,1004.330017,422066000
2007-10-31,1008.150024,1016.809998,1006.000000,1016.669983,1016.669983,326640700
2007-11-01,1019.979980,1038.949951,1015.280029,1017.270020,1017.270020,347800100
2007-11-02,1008.390015,1015.359985,995.650024,1010.150024,1010.150024,294561100
